id;title;url;cover;rate
26606743;嫌疑人X的献身;https://movie.douban.com/subject/26606743/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2448676053.jpg;6.4
26284593;圆圈;https://movie.douban.com/subject/26284593/;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2447253459.jpg;5.0
26675512;恋妻家宫本;https://movie.douban.com/subject/26675512/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2402629511.jpg;7.4
26382962;美好的意外;https://movie.douban.com/subject/26382962/;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2461293117.jpg;5.5
26839466;哆啦A梦：大雄的南极冰冰凉大冒险;https://movie.douban.com/subject/26839466/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2459600525.jpg;6.6
26646360;一周的朋友;https://movie.douban.com/subject/26646360/;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2369481108.jpg;6.6
26325320;血战钢锯岭;https://movie.douban.com/subject/26325320/;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2397337958.jpg;8.7
26309788;金刚：骷髅岛;https://movie.douban.com/subject/26309788/;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2436030518.jpg;6.6
26615208;隐藏人物;https://movie.douban.com/subject/26615208/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2408791085.jpg;8.6
20471852;生化危机：终章;https://movie.douban.com/subject/20471852/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2429713841.jpg;6.6
26264454;声之形;https://movie.douban.com/subject/26264454/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2399176645.jpg;7.5
26688480;逃出绝命镇;https://movie.douban.com/subject/26688480/;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2416438068.jpg;7.5
26354572;欢乐好声音;https://movie.douban.com/subject/26354572/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2411622136.jpg;8.2
27090211;死于独特;https://movie.douban.com/subject/27090211/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2494318116.jpg;7.9
25726614;神奇动物在哪里;https://movie.douban.com/subject/25726614/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2392444121.jpg;7.8
26707472;明日的我与昨日的你约会;https://movie.douban.com/subject/26707472/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2390682054.jpg;7.5
26630781;我不是潘金莲;https://movie.douban.com/subject/26630781/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2378133884.jpg;6.7
26340301;被操纵的城市;https://movie.douban.com/subject/26340301/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2428791183.jpg;7.3
25983044;比利·林恩的中场战事;https://movie.douban.com/subject/25983044/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2391542403.jpg;8.4
26644002;傲娇与偏见;https://movie.douban.com/subject/26644002/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2455810613.jpg;5.1
26662798;京城81号2;https://movie.douban.com/subject/26662798/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2471580153.jpg;4.0
26748673;拆弹专家;https://movie.douban.com/subject/26748673/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2465858820.jpg;6.4
25937854;银河护卫队2;https://movie.douban.com/subject/25937854/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2455261804.jpg;8.2
25921812;驴得水;https://movie.douban.com/subject/25921812/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2393044761.jpg;8.3
26388164;克罗索巨兽;https://movie.douban.com/subject/26388164/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2437679580.jpg;5.6
26382767;了不起的菲丽西;https://movie.douban.com/subject/26382767/;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2416009294.jpg;6.6
5327189;伦敦一家人;https://movie.douban.com/subject/5327189/;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2421801088.jpg;8.7
